id;zona;kids_r;prop_r;resid;age;inc_r;persh;inc_b;prop_b;kids_b;var_0001;var_0002;var_0003;var_0004;var_0005;var_0006;var_0007;var_0008;var_0009;var_0010;var_0011;var_0012
37945;5;29,80061942;73,02602154;6,421052632;37,90860667;36672,58845;1,6;32222,22222;77,60910816;28,84250474;0;0;0;0;1;0;1;0;0;0;0;0
46638;4;47,9265052;82,5176071;3,225641026;42,34025419;36313,79307;2,4;39796,2963;74,72755579;50;0;0;0;0;0;0;0;0;0;0;0;0
40214;4;54,65867484;89,39157326;11,9;57,06917105;116311,6174;3;87424,24242;75,60321716;44,23592493;0;0;0;0;0;0;1;0;0;0;0;0
55549;4;17,48182072;100;7,3;43,21667466;50741,90227;2,1;35375;88,19875776;31,67701863;0;0;0;0;1;0;0;0;0;0;0;0
25093;5;23,15886666;82,61463224;8,333333333;52,44626764;55316,95291;1;51282,05128;33,17535545;35,07109005;0;1;0;0;1;0;0;0;0;0;0;0
55373;3;29,28513612;80,57369548;6,15;53,64292991;35986,14872;1,5;24527,02703;72,24137931;24,13793103;0;0;0;0;0;0;0;0;0;0;0;0
39505;4;26,7268462;65,28557594;4,34;33,30420135;54662,32043;1;58666,66667;67,62402089;34,72584856;0;0;0;1;0;0;0;1;0;0;0;0
38952;3;26,88978238;14,49206114;7;54,64386855;30169,60488;1;46862,2449;45,09466437;24,7848537;0;0;1;0;0;0;0;0;0;0;0;0
51853;3;15,5006034;83,48196904;4,75;54,66707205;52898,91396;1,4;38100;60,48780488;12,07317073;0;0;0;0;0;0;0;0;0;0;0;0
24537;5;26,79037182;67,8490388;10,5;58,37834181;40947,36662;1,3;39198,11321;39,80929678;34,80333731;0;0;1;0;0;0;0;0;0;0;0;0
1438;3;39,104903;85,12008276;9,938596491;52,50762276;94969,5732;2,2;47966,1017;77,18894009;30,64516129;0;0;0;0;0;0;1;0;0;0;0;0
11927;2;42,05864932;91,66753862;12,38888889;51,17195447;84684,14011;2,8;64605,97826;83,85360603;36,81377826;0;0;0;0;1;0;1;0;0;0;0;0
38391;3;24,81582068;86,844145;18,55;69,82667122;29987,4523;2;30403,22581;77,33711048;18,41359773;0;1;1;0;1;0;0;0;0;0;1;0
23283;1;36,76089682;82,39813178;17,5;56,57861216;40064,16238;2,6;36163,7931;80,48327138;36,43122677;1;1;0;1;0;1;1;0;0;0;1;0
6979;1;33,18460958;73,18294496;11,6;49,34091241;30599,43877;2;41607,14286;86,56069364;37,13872832;1;1;1;1;1;1;1;1;0;1;0;0
18005;3;25,11869912;83,67201452;12;70,01649392;30082,5054;2,3;37550;72,02572347;18,00643087;0;0;0;0;0;0;0;0;0;0;0;0
24851;3;62,90980198;4,75730076;5,18;38,05847339;26849,10612;1,6;48064,51613;19,08602151;36,02150538;0;0;0;0;0;0;0;0;0;0;0;1
45829;2;57,122287;88,8967926;9,6;50,22975409;33513,6235;2,7;35896,41434;77,98647633;31,27347859;0;1;0;0;0;0;1;0;0;0;0;1
49201;1;40,61275638;86,24716474;4,84;33,73229288;40760,46854;3,3;63556,33803;71,92513369;41,84491979;0;1;0;1;0;0;0;0;0;0;1;0
8757;2;36,27834246;72,40031274;6,2;49,21146953;50571,06599;2,67083659;50571,06599;72,40031274;36,27834246;0;0;1;1;0;0;0;0;0;0;1;1
47633;3;15,12682528;60,6618486;7,5;31,63959326;40640,10009;1;42391,30435;48,20512821;33,84615385;0;0;0;0;0;0;0;0;0;0;0;0
45268;4;48,07224614;80,22281086;14,33333333;49,00657244;46372,7246;2;33659,79381;55,25362319;36,95652174;0;0;1;1;0;0;0;0;0;0;0;0
17181;1;17,0597984;100;10,8;47,12583995;33266,18738;1,2;48978,7234;86,92152918;31,58953722;0;0;0;0;0;0;0;0;0;0;0;0
7196;2;59,20487738;86,59160088;20,5;46,68590272;68506,31654;4,1;66250;84,7107438;35,39944904;0;0;0;0;1;0;0;0;0;0;0;0
42448;3;35,32984782;75,96754608;10,48076923;50,42418733;57200,46618;2;67319,27711;74,25742574;39,6039604;0;0;0;0;0;0;0;0;0;0;0;1
54200;4;62,83210926;86,8681563;10,25;44,3678659;48819,4746;2,4;52786,14458;90,07751938;44,34108527;0;1;1;0;1;0;0;0;0;0;0;0
38207;4;20,68562626;5,38671608;2;37,19496709;33045,40629;1;53928,57143;73,94270123;21,0095498;0;0;0;0;0;0;0;0;0;0;0;0
13675;3;24,77329048;12,8765058;3,68;35,29083276;34430,82362;1;44820,44199;22,65023112;28,81355932;0;1;0;0;1;0;0;0;0;0;0;1
8865;5;6,92970524;5,42307776;1,85;30,47287862;57077,66638;1;53194,44444;47,35249622;2,72314675;0;0;0;0;0;0;0;0;0;0;0;1
9274;4;21,15191516;70,55044604;5,35;44,68405159;39967,80557;2,1;44807,69231;50,60658579;29,4627383;0;0;0;0;0;0;0;0;0;0;0;0
51377;4;25,59289206;91,48265838;15,14545455;68,80981252;56969,17209;2;93055,55556;97,38562092;38,16993464;0;0;0;0;0;0;0;0;0;0;0;0
30458;2;24,47064964;84,03436414;11,56666667;48,18391521;52992,08306;2;39667,83217;59,53635406;33,40358272;0;0;0;0;0;0;0;0;0;0;0;0
26671;4;57,65308926;82,8313283;3,32;58,55230822;135248,797;1,2;55414,97976;39,68586387;36,02094241;0;1;0;0;0;0;1;0;0;0;0;0
37867;3;23,03624892;82,65046366;8,6;59,52095713;30227,64203;2,6;40657,89474;75,65055762;18,02973978;0;0;0;0;0;0;0;0;0;0;0;0
49315;4;23,9908189;80,9925051;20,22045455;75,44874609;90333,66873;3;62369,79167;46,19469027;16,99115044;0;0;0;0;0;1;1;0;0;0;1;0
21116;3;14,88945044;9,44451396;4,525;35,57967098;40036,89166;1;49767,08075;1;17,59562842;0;0;0;0;0;0;0;0;0;0;0;1
55504;3;83,28453284;68,35763688;7,406818182;40,09288738;33530,33821;1,2;33750;72,38267148;45,12635379;0;0;0;0;1;0;0;0;0;0;0;0
